Academic_Program_ID,Institute_ID,Academic Program
1,1,"Computer Science and Engineering (4 Years, Bachelor of Technology)"
2,1,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)"
3,1,"Agricultural Engineering (4 Years, Bachelor of Technology)"
4,2,"Bio Technology (4 Years, Bachelor of Technology)"
5,2,"Chemical Engineering (4 Years, Bachelor of Technology)"
6,2,"Civil Engineering (4 Years, Bachelor of Technology)"
7,2,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)"
8,2,"Computer Science and Engineering (4 Years, Bachelor of Technology)"
9,2,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)"
10,2,"Mechanical Engineering (4 Years, Bachelor of Technology)"
11,2,"Production and Industrial Engineering (4 Years, Bachelor of Technology)"
12,2,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)"
13,2,"Food Engineering  and Technology (4 Years, Bachelor of Technology)"
14,2,"Architecture  (5 Years, Bachelor of Architecture)"
15,2,"Mathematics and Computing (5 Years, Integrated Master of Science)"
16,2,"Physics (5 Years, Integrated Master of Science)"
17,2,"Quantitative Economics &amp; Data Science (5 Years, Integrated Master of Science)"
18,3,"Computer Science and Engineering (4 Years, Bachelor of Technology)"
19,3,"Electrical Engineering (4 Years, Bachelor of Technology)"
20,3,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)"
21,3,"Mechanical Engineering (4 Years, Bachelor of Technology)"
22,4,"Carpet  and Textile Technology (4 Years, Bachelor of Technology)"
23,5,"Civil Engineering (4 Years, Bachelor of Technology)"
24,5,"Electrical Engineering (4 Years, Bachelor of Technology)"
25,5,"Mechanical Engineering (4 Years, Bachelor of Technology)"
26,5,"Computer Engineering (4 Years, Bachelor of Technology)"
27,6,"Chemical Engineering (4 Years, Bachelor of Technology)"
28,6,"Civil Engineering (4 Years, Bachelor of Technology)"
29,6,"Computer Science and Engineering (4 Years, Bachelor of Technology)"
30,6,"Electrical Engineering (4 Years, Bachelor of Technology)"
31,6,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)"
32,6,"Mechanical Engineering (4 Years, Bachelor of Technology)"
33,6,"Animation and VFX (4 Years, Bachelor of Technology)"
34,6,"Information Technology (4 Years, Bachelor of Technology)"
35,6,"Industrial and Production Engineering (4 Years, Bachelor of Technology)"
36,6,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)"
37,7,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)"
38,7,"Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)"
39,8,"Computer Science and Engineering (4 Years, Bachelor of Technology)"
40,8,"Electronic Engineering (4 Years, Bachelor of Technology)"
41,9,"Mechanical Engineering (4 Years, Bachelor of Technology)"
42,9,"Production and Industrial Engineering (4 Years, Bachelor of Technology)"
43,9,"Computer Engineering (4 Years, Bachelor of Technology)"
